ACWI,International
ACWX,International
AIRR,Industrials
AMLP,Energy
AVDE,International
AVDV,International
AVEM,Emerging Markets
AVLV,Value
AVUS,US Broad Market
AVUV,Value
BAI,Technology
BBCA,International
BBEU,International
BBJP,International
BUFR,Other
CGDV,Value
CGGO,International
CGGR,Growth
CGUS,US Broad Market
CIBR,Technology
COWZ,Value
DBEF,International
DFAC,US Broad Market
DFAE,Emerging Markets
DFAI,International
DFAS,US Broad Market
DFAT,Value
DFAU,US Broad Market
DFAX,International
DFIC,International
DFIV,International
DFUS,US Broad Market
DFUV,Value
DGRO,Value
DGRW,US Broad Market
DIA,Value
DUHP,US Broad Market
DVY,Value
DYNF,US Broad Market
EEM,Emerging Markets
EFA,International
EFG,International
EFV,International
EMXC,Emerging Markets
ESGD,International
ESGU,US Broad Market
ESGV,US Broad Market
EWJ,International
EWY,International
EWZ,International
EZU,International
FDVV,Value
FENI,International
FNDA,US Broad Market
FNDE,Emerging Markets
FNDF,International
FNDX,Value
FTCS,US Broad Market
FTEC,Technology
FVD,Value
GDX,Materials
GDXJ,Materials
GSLC,US Broad Market
HDV,Value
IBB,Healthcare
IDEV,International
IEFA,International
IEMG,Emerging Markets
IEUR,International
IGF,Infrastructure
IGM,Technology
IGV,Technology
IJH,US Broad Market
IJJ,Value
IJK,Growth
IJR,US Broad Market
INDA,Emerging Markets
IQLT,International
ITA,Industrials
ITOT,US Broad Market
IUSG,Growth
IUSV,Value
IVE,Value
IVV,US Broad Market
IVW,Growth
IWB,US Broad Market
IWD,Value
IWF,Growth
IWM,US Broad Market
IWN,Value
IWO,Growth
IWP,Growth
IWR,US Broad Market
IWS,Value
IWV,US Broad Market
IWY,Growth
IXUS,International
IYW,Technology
JEPI,Value
JEPQ,Value
JGRO,Growth
JIRE,International
MDY,US Broad Market
MGC,US Broad Market
MGK,Growth
MGV,Value
MOAT,US Broad Market
MTUM,US Broad Market
NOBL,Value
OEF,US Broad Market
ONEQ,Growth
PAVE,Infrastructure
PBUS,US Broad Market
PPA,Industrials
PRF,Value
PVAL,Value
QLD,Other
QQQ,Growth
QQQI,Value
QQQM,Growth
QUAL,US Broad Market
QYLD,Value
RDVY,Value
RSP,US Broad Market
RWL,Value
SCHA,US Broad Market
SCHB,US Broad Market
SCHD,Value
SCHE,Emerging Markets
SCHF,International
SCHG,Growth
SCHM,US Broad Market
SCHV,Value
SCHX,US Broad Market
SCZ,International
SDVY,Value
SDY,Value
SMH,Technology
SOXX,Technology
SPDW,International
SPEM,Emerging Markets
SPHQ,US Broad Market
SPLV,Value
SPMD,US Broad Market
SPMO,US Broad Market
SPSM,US Broad Market
SPTM,US Broad Market
SPY,US Broad Market
SPYG,Growth
SPYI,Value
SPYM,Other
SPYV,Value
USMV,US Broad Market
VB,US Broad Market
VBK,Growth
VBR,Value
VDC,Consumer Staples
VDE,Energy
VEA,International
VEU,International
VFH,Financials
VGK,International
VGT,Technology
VHT,Healthcare
VIG,US Broad Market
VIGI,International
VLUE,Value
VO,US Broad Market
VOE,Value
VONG,Growth
VONV,Value
VOO,US Broad Market
VOOG,Growth
VOT,Growth
VPL,International
VPU,Utilities
VSS,International
VT,International
VTI,US Broad Market
VTV,Value
VTWO,US Broad Market
VUG,Growth
VV,US Broad Market
VWO,Emerging Markets
VXF,US Broad Market
VXUS,International
VYM,Value
VYMI,International
XLC,Communication Services
XLE,Energy
XLF,Financials
XLG,US Broad Market
XLI,Industrials
XLK,Technology
XLP,Consumer Staples
XLU,Utilities
XLV,Healthcare
XLY,Consumer Discretionary
